Ticker,Sector,Industry,Region,Market Cap Classification,Volatility Classification,Growth vs Value,P/E Ratio,Dividend Yield (%),Beta,Avg Volume,Recent Close Price,EPS,Revenue,Net Income,Debt-to-Equity Ratio,ROE,P/B Ratio,Free Cash Flow,Analyst Ratings,Insider Transactions
PHX,Energy,Oil & Gas E&P,North America,Small Cap,Low Volatility,Growth,29.307693,4.2,0.546,57974.10359,3.809999943,0.13,31939772,4725910,23.06,0.038540002,1.1114352,7939377,buy,Negative
INGR,Consumer Defensive,Packaged Foods,North America,Mid Cap,Low Volatility,Value,14.374634,2.17,0.733,381068.1275,147.3399963,10.25,7551000064,683000000,46.278,0.18664,2.4283078,997875008,buy,Positive
TLYS,Consumer Cyclical,Apparel Retail,North America,Small Cap,High Volatility,Unknown,,0,1.633,87703.18725,4.46999979,-1.38,618217984,-41089000,168.683,-0.28173,1.0632731,-15049875,strongSell,Positive
ASH,Basic Materials,Specialty Chemicals,North America,Mid Cap,Medium Volatility,Growth,19.762024,2.08,0.882,425011.9522,78.05999756,3.95,2112999936,199000000,51.185,0.06672,1.3336523,442124992,buy,Negative
NVT,Industrials,Electrical Equipment & Parts,North America,Large Cap,High Volatility,Growth,22.830902,0.97,1.25,1532645.817,78.30999756,3.43,3539099904,577100032,72.196,0.18530001,3.9306328,479600000,buy,Negative
GME,Consumer Cyclical,Specialty Retail,North America,Large Cap,Low Volatility,Growth,207.5,0,-0.098,18354637.05,29.04999924,0.14,4552000000,42500000,12.171,0.015039999,2.8264253,-93387504,sell,Positive
MU,Technology,Semiconductors,North America,Large Cap,Medium Volatility,Growth,139.92857,0.47,1.179,20993277.29,97.94999695,0.7,25110999040,778000000,31.194,0.01743,2.4069295,363500000,buy,Negative
FOXA,Communication Services,Entertainment,North America,Large Cap,Low Volatility,Value,11.5207815,1.15,0.77,3143184.462,47.11999893,4.09,14337000448,1920999936,70.271,0.17711,1.9131918,1272249984,buy,Positive
PRGS,Technology,Software - Infrastructure,North America,Mid Cap,Medium Volatility,Growth,36.77957,1.0199999,0.92,479067.3307,68.41000366,1.86,715417984,82626000,190.961,0.1898,6.895475,227872000,strongBuy,Negative
CC,Basic Materials,Specialty Chemicals,North America,Mid Cap,High Volatility,Growth,43.48,4.6,1.745,1545610.359,21.73999977,0.5,5749000192,76000000,650.986,0.11017,4.9431562,-14875000,buy,Positive
NNN,Real Estate,REIT - Retail,North America,Mid Cap,Medium Volatility,Growth,20.36111,5.2800003,1.088,1215334.263,43.97999954,2.16,867014976,394951008,100.077,0.09279,1.8877156,517865984,strongBuy,Negative
JAZZ,Healthcare,Biotechnology,North America,Mid Cap,Low Volatility,Growth,17.22238,0,0.573,670911.9522,121.5899963,7.06,3992711936,463159008,148.749,0.12092,1.7619694,1049404480,buy,Negative
PRAA,Financial Services,Credit Services,North America,Small Cap,High Volatility,Growth,19.272728,0,1.501,219671.3147,21.20000076,1.1,1042710016,43363000,261.38,0.04849,0.6857291,-467106368,buy,Negative
PLTR,Technology,Software - Infrastructure,North America,Large Cap,High Volatility,Growth,335.4,0,2.697,58435744.62,67.08000183,0.2,2646338048,476572000,5.552,0.12409,33.8446,784283520,sell,Negative
EVER,Communication Services,Internet Content & Information,North America,Small Cap,Medium Volatility,Growth,53.305553,0,1.055,459597.6096,19.19000053,0.36,408440000,13515000,3.477,0.13543999,5.764494,33686124,buy,Negative
BDX,Healthcare,Medical Instruments & Supplies,North America,Large Cap,Low Volatility,Growth,37.866894,1.75,0.45,1448546.614,221.8999939,5.86,19828000768,1459000064,77.612,0.05633,2.480161,4431000064,buy,Negative
AWK,Utilities,Utilities - Regulated Water,North America,Large Cap,Low Volatility,Growth,27.170635,2.23,0.698,1183894.024,136.9400024,5.04,4514999808,983000000,129.608,0.097040005,2.5756578,-1103874944,buy,Positive
EQIX,Real Estate,REIT - Specialty,North America,Large Cap,Low Volatility,Growth,88.50135,1.74,0.701,525569.7211,981.4799805,11.09,8401490944,1056177984,140.964,0.08267,6.9694514,2946253568,buy,Negative
CPRI,Consumer Cyclical,Luxury Goods,North America,Mid Cap,High Volatility,Unknown,,0,2.049,2052876.096,23.40999985,-3.05,4796000256,-357000000,233.647,-0.20954001,1.858674,538124992,strongBuy,Negative
VICR,Technology,Electronic Components,North America,Mid Cap,High Volatility,Growth,532.1,0,1.487,231219.9203,53.20999908,0.1,355544000,4551000,1.324,0.00842,4.329889,26165500,buy,Positive
CHRS,Healthcare,Biotechnology,North America,Small Cap,Low Volatility,Unknown,,0,0.693,3202381.673,1.220000029,-0.09,304340000,-450000,,,,42632376,buy,Negative
MMSI,Healthcare,Medical Instruments & Supplies,North America,Mid Cap,Medium Volatility,Growth,50.68293,0,0.892,467439.8406,103.9000015,2.05,1325870976,120039000,61.897,0.09403,4.5750775,162971120,buy,Negative
FRT,Real Estate,REIT - Retail,North America,Large Cap,High Volatility,Growth,33.909885,3.77,1.258,622253.7849,116.6500015,3.44,1185020032,284441984,135.474,0.09324,3.3573177,364418880,buy,Negative
RELY,Technology,Software - Infrastructure,North America,Mid Cap,Low Volatility,Unknown,,0,0.026,1738019.124,20.55999947,-0.35,1176825984,-66275000,2.169,-0.1146,6.455259,96830872,buy,Negative
NCMI,Communication Services,Advertising Agencies,North America,Small Cap,High Volatility,Unknown,,0,2.066,586700,6.949999809,-7.34,245300000,-23300000,6.148,-0.05863,1.7143562,45375000,buy,Positive
FORM,Technology,Semiconductor Equipment & Materials,North America,Mid Cap,Medium Volatility,Growth,23.15607,0,1.12,587315.5378,40.06000137,1.73,742278976,135755008,4.38,0.1512,3.2487228,68499248,buy,Negative
UDR,Real Estate,REIT - Residential,North America,Large Cap,Medium Volatility,Growth,120.68421,3.7100002,0.847,2522547.41,45.86000061,0.38,1677719040,122755000,131.116,0.02841,4.3597302,701961280,buy,Negative
MEI,Technology,Electronic Components,North America,Small Cap,Low Volatility,Unknown,,5.13,0.756,520549.8008,10.92000008,-4.03,1083299968,-142500000,43.821,-0.16997999,0.517021,57987500,sell,Positive
VHI,Basic Materials,Chemicals,North America,Small Cap,High Volatility,Value,8.28479,1.25,1.29,16542.23108,25.60000038,3.09,2076899968,87900000,46.327,0.105179995,0.7084152,-35500000,sell,Positive
ODFL,Industrials,Trucking,North America,Large Cap,Medium Volatility,Growth,39.36014,0.46,0.989,1530847.41,225.1399994,5.72,5924531200,1245744000,1.437,0.30241,11.526726,752302144,strongBuy,Negative
ARMK,Industrials,Specialty Business Services,North America,Large Cap,High Volatility,Growth,41.10101,1.0299999,1.681,2282713.546,40.68999863,0.99,17400700928,262522000,182.724,0.0774,3.5333447,619515520,buy,Negative
KHC,Consumer Defensive,Packaged Foods,North America,Large Cap,Low Volatility,Growth,28.801802,5,0.475,7984806.773,31.96999931,1.11,26129999872,1370000000,41.451,0.027999999,0.7997699,2514374912,buy,Negative
NGS,Energy,Oil & Gas Equipment & Services,North America,Small Cap,Medium Volatility,Growth,21.6875,0,1.029,66903.58566,27.76000023,1.28,142988000,13221000,66.352,0.055409998,1.4566061,-67438000,buy,Positive
ONTO,Technology,Semiconductor Equipment & Materials,North America,Mid Cap,High Volatility,Growth,44.49322,0,1.37,572142.2311,164.1799927,3.69,942238016,183162000,0.861,0.10177,4.2598786,170908992,buy,Negative
TTWO,Communication Services,Electronic Gaming & Multimedia,North America,Large Cap,Medium Volatility,Unknown,,0,0.85,1685524.303,188.3800049,-21.19,5456999936,-3622099968,70.922,-0.50913,5.701574,546150016,buy,Negative
WTRG,Utilities,Utilities - Regulated Water,North America,Large Cap,Medium Volatility,Growth,20.115578,3.25,0.836,1526786.056,40.02999878,1.99,1961149056,546006976,120.505,0.090220004,1.7784787,-628006400,strongBuy,Positive
VRTS,Financial Services,Asset Management,North America,Small Cap,High Volatility,Growth,15.013373,3.64,1.444,42951.39442,246.9700012,16.45,888041984,119286000,30.06,0.15501,1.9491117,99149000,sell,Negative
DLX,Industrials,Conglomerates,North America,Small Cap,High Volatility,Growth,18.685484,5.1799998,1.452,235162.1514,23.17000008,1.24,2138578944,55145000,261.17,0.09125,1.6746169,212947248,buy,Positive
EA,Communication Services,Electronic Gaming & Multimedia,North America,Large Cap,Low Volatility,Growth,41.966663,0.46,0.781,2028606.375,163.6699982,3.9,7408999936,1046000000,29.954,0.13962,5.814003,1808375040,strongBuy,Negative
SF,Financial Services,Capital Markets,North America,Large Cap,Medium Volatility,Growth,20.902527,1.45000005,1.081,568995.2191,115.8000031,5.54,4736245248,612577024,41.426,0.120349996,2.4318025,,buy,Negative
XOM,Energy,Oil & Gas Integrated,North America,Large Cap,Medium Volatility,Value,14.689913,3.36,0.88,16762449.8,117.9599991,8.03,3.43818E+11,33699999744,15.394,0.14513999,1.9302264,28811499520,buy,Negative
FDX,Industrials,Integrated Freight & Logistics,North America,Large Cap,Medium Volatility,Growth,18.694874,1.82,1.177,1921455.777,302.6700134,16.19,87591002112,4040999936,,0.1507,2.7211185,3036124928,buy,Positive
ANF,Consumer Cyclical,Apparel Retail,North America,Mid Cap,High Volatility,Value,14.820792,0,1.512,1671236.255,149.6900024,10.1,4664041984,501676000,72.951,0.50931,7.3026643,459909248,buy,Negative
AMD,Technology,Semiconductors,North America,Large Cap,High Volatility,Growth,122.477684,0,1.706,55277277.29,137.1799927,1.12,24295000064,1826000000,3.927,0.03262,3.9068954,2221374976,buy,Negative
CAC,Financial Services,Banks - Regional,North America,Small Cap,Low Volatility,Value,14.721875,3.57,0.713,50764.54183,47.11000061,3.2,168756000,46801000,,0.094280005,1.2959753,,sell,Positive
POST,Consumer Defensive,Packaged Foods,North America,Mid Cap,Low Volatility,Growth,21.361704,0,0.596,543039.4422,120.4800034,5.64,7857999872,350800000,161.762,0.088640004,1.7843337,630499968,buy,Negative
UPS,Industrials,Integrated Freight & Logistics,North America,Large Cap,Medium Volatility,Growth,20.50151,4.8,0.982,4104184.064,135.7200012,6.62,90685997056,5665999872,155.425,0.31422,6.8677263,4099375104,buy,Positive
WINA,Consumer Cyclical,Specialty Retail,North America,Small Cap,Low Volatility,Growth,37.72207,0.87,0.78,26175.69721,411.9299927,10.92,81781000,40088000,,,,33452300,buy,Positive
ADUS,Healthcare,Medical Care Facilities,North America,Mid Cap,Medium Volatility,Growth,28.10984,0,1.044,128360.1594,122.8399963,4.37,1133805952,73650000,5.251,0.09026,2.3244898,119220248,strongBuy,Positive
PBH,Healthcare,Drug Manufacturers - Specialty & Generic,North America,Mid Cap,Low Volatility,Growth,20.67561,0,0.471,251094.8207,84.76999664,4.1,1110658944,205948992,61.26,0.12605,2.420064,189474128,buy,Positive
LPG,Energy,Oil & Gas Midstream,North America,Small Cap,Medium Volatility,Value,4.168654,16.350001,1.124,766881.2749,24.46999931,5.87,498825984,239929856,69.361,0.23854999,0.9624764,197124640,buy,Negative
UTI,Consumer Defensive,Education & Training Services,North America,Small Cap,High Volatility,Growth,34.493336,0,1.346,510080.0797,25.87000084,0.75,706627008,22606000,130.698,0.12998,5.8147902,67721624,buy,Positive
C,Financial Services,Banks - Diversified,North America,Large Cap,High Volatility,Growth,20.190884,3.08,1.426,14804083.27,70.87000275,3.51,69307998208,6700000256,,0.03874,0.695438,,buy,Negative
AGX,Industrials,Engineering & Construction,North America,Mid Cap,Low Volatility,Growth,48.73125,0.95999995,0.471,169961.753,155.9400024,3.2,713006016,43562000,1.2,0.14689,6.832282,146160496,buy,Negative
FDS,Financial Services,Financial Data & Stock Exchanges,North America,Large Cap,Low Volatility,Growth,35.325413,0.85,0.752,265147.012,490.6700134,13.89,2203056128,537126016,82.338,0.30411,9.737255,555261760,sell,Negative
UMH,Real Estate,REIT - Residential,North America,Small Cap,High Volatility,Growth,147.69232,4.48,1.288,414232.2709,19.20000076,0.13,235200992,9276000,72.024,0.03608,2.7487473,70396624,buy,Negative
PRGO,Healthcare,Drug Manufacturers - Specialty & Generic,North America,Mid Cap,Low Volatility,Unknown,,3.87,0.484,1662013.944,28.54000092,-1.07,4392000000,-146900000,109.255,-0.03158,0.8531883,260987504,buy,Positive
ATSG,Industrials,Airlines,North America,Small Cap,Medium Volatility,Unknown,,0,0.809,664937.8486,21.95999908,-0.01,1962220032,-2867000,110.648,-0.00204,0.9769552,11998000,strongBuy,Negative
FUL,Basic Materials,Specialty Chemicals,North America,Mid Cap,High Volatility,Growth,23.804953,1.16,1.416,301471.3147,76.88999939,3.23,3548331008,182604992,116.082,0.10236,2.2809255,266015632,buy,Positive
CPS,Consumer Cyclical,Auto Parts,North America,Small Cap,High Volatility,Unknown,,0,2.746,141192.4303,15.43999958,-9.95,2743782912,-174112000,,,,78388624,buy,Negative
RGEN,Healthcare,Medical Instruments & Supplies,North America,Mid Cap,Medium Volatility,Unknown,,0,0.959,660435.8566,150.5399933,-0.03,639915008,-2114000,37.398,,4.236744,,buy,Negative
FBNC,Financial Services,Banks - Regional,North America,Small Cap,Medium Volatility,Growth,19.07258,1.86,1.036,169041.8327,47.29999924,2.48,362644000,101721000,,0.074829996,1.32341,,buy,Negative
GBX,Industrials,Railroads,North America,Mid Cap,High Volatility,Value,13.709678,1.76,1.479,315176.494,68,4.96,3544699904,160100000,115.428,0.11347,1.5385311,-29200000,buy,Negative
EXTR,Technology,Communication Equipment,North America,Mid Cap,High Volatility,Unknown,,0,1.77,1835706.375,16.60000038,-0.96,1033270016,-125144000,721.561,-1.77254,66.935486,9752125,buy,Negative
TBBK,Financial Services,Banks - Regional,North America,Mid Cap,High Volatility,Value,14.755051,0,1.462,617369.3227,58.43000031,3.96,472068000,205660000,,0.25885,3.4563737,,buy,Positive
NEU,Basic Materials,Specialty Chemicals,North America,Mid Cap,Low Volatility,Value,11.8489895,1.87,0.512,36585.65737,533.5599976,45.03,2775260928,430552992,84.902,0.36990002,3.7525232,368575488,sell,Negative
GDDY,Technology,Software - Infrastructure,North America,Large Cap,Medium Volatility,Growth,15.843625,0,1.114,1467044.622,197.5700073,12.47,4480900096,1852199936,1107.373,,77.72227,920150016,buy,Negative
WSBF,Financial Services,Banks - Regional,North America,Small Cap,Low Volatility,Growth,20.958332,3.98,0.642,46553.78486,15.09000015,0.72,133232000,13438000,,0.039049998,0.80963624,,strongSell,Positive
SHO,Real Estate,REIT - Hotel & Motel,North America,Mid Cap,High Volatility,Value,14.333333,3.35,1.249,2120493.625,10.75,0.75,910264000,154038000,38.979,0.08043,1.1715345,380265504,strongBuy,Positive
KNX,Industrials,Trucking,North America,Mid Cap,Medium Volatility,Growth,258.08694,1.08,0.934,2051315.936,59.36000061,0.23,7477715968,37474000,47.652,0.00507,1.3612494,171405872,buy,Positive
SRDX,Healthcare,Medical Devices,North America,Small Cap,High Volatility,Unknown,,0,1.202,217737.8486,39.45000076,-0.82,126078000,-11542000,24.857,-0.09666,4.7076373,7611375,strongSell,Positive
RYAM,Basic Materials,Chemicals,North America,Small Cap,High Volatility,Unknown,,0,3.011,531297.2112,8.81000042,-1.35,1630290048,-87587000,110.176,-0.11537,0.7923374,46732624,buy,Negative
IRDM,Communication Services,Telecom Services,North America,Mid Cap,Low Volatility,Growth,31.956987,1.88,0.645,1055739.044,29.71999931,0.93,812430976,114458000,272.73,0.14408,5.1153183,271635264,buy,Negative
TAP,Consumer Defensive,Beverages - Brewers,North America,Large Cap,Medium Volatility,Value,13.977478,2.8399998,0.827,1879217.928,62.06000137,4.44,11682199552,937900032,48.838,0.071669996,0.96029466,671137472,buy,Positive
TBPH,Healthcare,Biotechnology,North America,Small Cap,Low Volatility,Unknown,,0,0.251,349632.2709,9.25,-1.03,63192000,-49401000,21.968,-0.22882,2.4432118,,buy,Positive
KPTI,Healthcare,Biotechnology,North America,Small Cap,Low Volatility,Unknown,,0,0.154,1243627.888,0.845000029,-1.05,148442000,-87479000,,,,-72264496,buy,Negative
CNXC,Technology,Information Technology Services,North America,Mid Cap,Low Volatility,Value,14.884107,2.96,0.674,576041.0359,44.95000076,3.02,9401637888,198378000,139.233,0.05799,0.6943372,500648384,buy,Negative
APOG,Industrials,Building Products & Equipment,North America,Small Cap,Medium Volatility,Growth,17.765823,1.19,0.97,148854.1833,84.20999908,4.74,1375510016,104287000,21.323,0.22219,3.649246,130716376,buy,Positive
ICE,Financial Services,Financial Data & Stock Exchanges,North America,Large Cap,Medium Volatility,Growth,38.142185,1.12,1.092,2605204.382,160.9600067,4.22,9157000192,2428999936,78.899,0.09408,3.3926315,2806249984,buy,Negative
TTC,Industrials,Tools & Accessories,North America,Mid Cap,Low Volatility,Growth,22.855644,1.65,0.694,870221.1155,87.08000183,3.81,4490999808,399300000,67.875,0.2565,5.484318,282129504,buy,Positive
FN,Technology,Electronic Components,North America,Mid Cap,Medium Volatility,Growth,27.79384,0,0.947,486156.1753,234.5800018,8.44,3001718016,308486016,0.266,0.1838,4.657692,155059872,buy,Positive
ON,Technology,Semiconductors,North America,Large Cap,High Volatility,Growth,17.647642,0,1.654,6607064.94,71.12000275,4.03,7377900032,1755600000,42.376,0.2183,3.5265534,489150016,buy,Negative
FGEN,Healthcare,Biotechnology,North America,Small Cap,Low Volatility,Unknown,,0,0.726,2152963.347,0.425000012,-1.23,173816000,-168324000,,,,-121833376,strongSell,Negative
RNG,Technology,Software - Application,North America,Mid Cap,Medium Volatility,Unknown,,0,0.992,1243990.04,37.63000107,-1.05,2357154048,-98343000,,,,585805248,buy,Negative
CWST,Industrials,Waste Management,North America,Mid Cap,Medium Volatility,Growth,1029.1818,0,0.995,311494.0239,113.2099991,0.11,1489363968,6849000,76.825,0.00535,4.6800327,70416000,strongBuy,Negative
TSN,Consumer Defensive,Farm Products,North America,Large Cap,Low Volatility,Growth,28.666666,3.1,0.775,2497560.159,64.5,2.25,53309001728,800000000,52.863,0.044710003,1.2480167,1419750016,buy,Positive
STRA,Consumer Defensive,Education & Training Services,North America,Mid Cap,Low Volatility,Growth,18.820951,2.4300002,0.576,128744.2231,98.80999756,5.25,1211175936,126477000,8.092,0.07639,1.3999914,147904256,buy,Negative
OIS,Energy,Oil & Gas Equipment & Services,North America,Small Cap,High Volatility,Unknown,,0,2.642,996504.3825,5.5,-0.33,736259008,-20575000,22.191,-0.029579999,0.50686574,14666500,buy,Positive
SWK,Industrials,Tools & Accessories,North America,Large Cap,High Volatility,Unknown,,3.67,1.255,1436922.311,89.44999695,-1.24,15381699584,-184700000,79.081,-0.02031,1.5564101,1474375040,buy,Negative
FYBR,Communication Services,Telecom Services,North America,Mid Cap,Medium Volatility,Unknown,,0,1.105,2197850.199,34.81000137,-0.75,5856999936,-187000000,229.412,-0.03629,1.7109857,-203375008,buy,Positive
GTLS,Industrials,Specialty Industrial Machinery,North America,Mid Cap,High Volatility,Growth,54.90057,0,1.712,662123.9044,193.25,3.52,4068499968,162300000,127.04,0.06937,2.734889,461837504,buy,Positive
LNT,Utilities,Utilities - Regulated Electric,North America,Large Cap,Low Volatility,Growth,24.59144,3.04,0.574,1640001.594,63.20000076,2.57,3966000128,661000000,153.258,0.096540004,2.32738,-1098125056,strongBuy,Negative
GIII,Consumer Cyclical,Apparel Manufacturing,North America,Small Cap,High Volatility,Value,7.4447236,0,2.197,581969.7211,29.62999916,3.98,3086394112,186508000,41.828,0.12794,0.8596379,386596256,sell,Positive
SSD,Basic Materials,Lumber & Wood Production,North America,Mid Cap,High Volatility,Growth,24.953642,0.58999998,1.32,273223.506,188.3999939,7.55,2216420096,321580000,29.832,0.18238,4.2777348,73690248,buy,Negative
OLLI,Consumer Defensive,Discount Stores,North America,Mid Cap,Medium Volatility,Growth,30.167683,0,0.844,1044761.355,98.94999695,3.28,2216192000,203602000,31.499,0.13548,3.8189888,34393876,buy,Negative
MANH,Technology,Software - Application,North America,Large Cap,High Volatility,Growth,81.32194,0,1.517,418289.243,285.4400024,3.51,1024806016,219084000,9.239,0.89778,62.72028,252207120,buy,Negative
CASS,Industrials,Specialty Business Services,North America,Small Cap,Low Volatility,Growth,26.708334,2.76,0.711,41765.73705,44.86999893,1.68,220027008,22984000,3.241,0.10356,2.5644395,-240257120,buy,Positive
VSH,Technology,Semiconductors,North America,Mid Cap,Medium Volatility,Growth,30.806452,2.09,1.1,1297020.717,19.10000038,0.62,3008107008,86630000,43.681,0.04091,1.1968919,-95352496,strongBuy,Negative
EXC,Utilities,Utilities - Regulated Electric,North America,Large Cap,Low Volatility,Growth,16.279835,3.8399998,0.61,7042666.932,39.56000137,2.43,22923999232,2430000128,173.221,0.0933,1.4931684,-2150625024,buy,Negative
RGLS,Healthcare,Biotechnology,North America,Small Cap,High Volatility,Unknown,,0,1.628,1116703.984,1.610000014,-1.02,,-41628000,1.428,-0.72356004,1.2150943,-21584124,buy,Positive
ARWR,Healthcare,Biotechnology,North America,Mid Cap,Medium Volatility,Unknown,,0,0.934,1274399.203,26.03000069,-5,19648000,-538636032,133.97,-1.51843,9.782037,-413913760,buy,Positive
PAYX,Technology,Software - Application,North America,Large Cap,Medium Volatility,Growth,31.121279,2.6800001,0.987,1813502.39,146.2700043,4.7,5310799872,1698599936,22.517,0.45672,13.671371,1181175040,strongSell,Negative
WNC,Industrials,Farm & Heavy Construction Machinery,North America,Small Cap,High Volatility,Unknown,,1.61,1.528,596795.2191,19.82999992,-5.26,2126025984,-232659008,214.107,-0.64379996,4.2857146,-193587248,buy,Positive
AJX,Real Estate,REIT - Mortgage,North America,Small Cap,High Volatility,Unknown,,9.21,1.846,139292.8287,3.039999962,-3.37,-90326000,-117768000,245.119,-0.41241002,0.5556571,,buy,Positive
INCY,Healthcare,Biotechnology,North America,Large Cap,Low Volatility,Growth,828.7777,0,0.71,2351324.303,74.58999634,0.09,4075859968,32482000,1.151,0.00802,4.534898,482474624,strongBuy,Negative
EVLV,Industrials,Security & Protection Services,North America,Small Cap,High Volatility,Unknown,,0,1.336,1705830.677,4.050000191,-0.11,89220000,-19073000,1.516,-0.12833999,4.166667,-85333248,buy,Negative
AFL,Financial Services,Insurance - Life,North America,Large Cap,Medium Volatility,Growth,16.93908,1.75,0.958,2208896.414,114,6.73,17301999616,3808999936,50.141,0.16038,2.5559964,2892499968,buy,Negative
TROX,Basic Materials,Chemicals,North America,Small Cap,High Volatility,Unknown,,4.1300002,1.647,1103065.339,12.10000038,-0.47,3084000000,42000000,151.079,0.01858,0.9988443,-19125000,buy,Positive
HALO,Healthcare,Biotechnology,North America,Mid Cap,High Volatility,Growth,15.960265,0,1.29,1348323.904,48.20000076,3.02,947355008,392467008,339.054,1.11832,13.54313,339287264,buy,Negative
ITRI,Technology,Scientific & Technical Instruments,North America,Mid Cap,High Volatility,Growth,24.33881,0,1.466,506947.8088,118.5299988,4.87,2405146112,225384000,92.773,0.17321,3.9573317,177168496,buy,Positive
MCD,Consumer Cyclical,Restaurants,North America,Large Cap,Low Volatility,Growth,25.965792,2.39,0.735,3444482.47,296.0100098,11.4,25938700288,8245799936,,,,7300262400,buy,Negative
MNKD,Healthcare,Biotechnology,North America,Small Cap,High Volatility,Growth,84.75001,0,1.296,2666750.598,6.78000021,0.08,267200000,21567000,,,,30011124,buy,Negative
LEN,Consumer Cyclical,Residential Construction,North America,Large Cap,High Volatility,Value,11.587376,1.15,1.619,2058579.681,174.3899994,15.05,36462747648,4153762048,14.665,0.15878001,1.7255745,4653636096,buy,Negative
EMKR,Technology,Electronic Components,North America,Small Cap,High Volatility,Unknown,,0,1.574,478839.9203,3,-7.71,90961000,-52530000,59.284,-0.6664,0.5202914,-4143375,buy,Negative
STWD,Real Estate,REIT - Mortgage,North America,Mid Cap,High Volatility,Growth,17.262712,9.43,1.737,2339713.546,20.37000084,1.18,436460992,372217984,247.606,0.05487,1.050379,,buy,Negative
SPOK,Healthcare,Health Information Services,North America,Small Cap,Low Volatility,Growth,23.112677,7.62,0.304,139721.1155,16.40999985,0.71,137714000,14686000,5.828,0.091280006,2.1275768,23396000,buy,Negative
INN,Real Estate,REIT - Hotel & Motel,North America,Small Cap,High Volatility,Growth,131.59999,4.8600003,2.054,777114.741,6.579999924,0.05,736286976,7659000,99.102,0.011849999,0.7830537,118856248,buy,Positive
MDLZ,Consumer Defensive,Confectioners,North America,Large Cap,Low Volatility,Growth,23.031914,2.8900001,0.561,6716774.104,64.94999695,2.82,36151001088,3816000000,73.232,0.13552,3.1180987,4272000000,buy,Positive
AOSL,Technology,Semiconductors,North America,Small Cap,High Volatility,Unknown,,0,2.427,276319.9203,41.47000122,-0.69,658528000,-19363000,39.038,-0.02175,1.3444207,26585876,buy,Negative
EHTH,Financial Services,Insurance Brokers,North America,Small Cap,Low Volatility,Unknown,,0,0.48,253941.0359,5.650000095,-2.62,464891008,-78956000,11.971,-0.042069998,0.33424044,19711876,strongSell,Negative
MS,Financial Services,Capital Markets,North America,Large Cap,High Volatility,Growth,20.00152,2.8099999,1.336,7150810.359,131.6100006,6.58,58282000384,10618999808,405.772,0.11079001,2.2595544,,buy,Positive
PFG,Financial Services,Asset Management,North America,Large Cap,High Volatility,Unknown,,3.35,1.203,1134872.112,87.08999634,-0.74,14066499584,-206100000,36.258,-0.01274,1.7770205,1036400000,sell,Positive
ALEX,Real Estate,REIT - Retail,North America,Small Cap,High Volatility,Growth,24,4.52,1.283,325234.2629,19.68000031,0.82,230948992,59740000,47.635,0.0587,1.4320017,137909120,buy,Negative
FIS,Technology,Information Technology Services,North America,Large Cap,Medium Volatility,Growth,87.93815,1.6900001,1.074,3931704.781,85.30000305,0.97,10030999552,544000000,66.387,0.03034,2.7954383,3952875008,buy,Negative
CNMD,Healthcare,Medical Devices,North America,Mid Cap,High Volatility,Growth,17.545025,1.08,1.461,472974.9004,74.04000092,4.22,1288115968,131739000,100.848,0.15238,2.4511688,126049000,buy,Negative
PZZA,Consumer Cyclical,Restaurants,North America,Small Cap,Medium Volatility,Growth,17.242214,3.69,1.19,965478.0876,49.83000183,2.89,2099938944,94780000,,,,92616496,buy,Positive
BIO,Healthcare,Medical Devices,North America,Mid Cap,Medium Volatility,Unknown,,0,0.936,248304.7809,340.5299988,-28.09,2580208896,-778689984,18.538,-0.09792,1.273176,91243872,buy,Negative
SAIC,Technology,Information Technology Services,North America,Mid Cap,Low Volatility,Growth,22.22719,1.19,0.693,325595.2191,124.25,5.59,7296999936,290000000,143.077,0.16724001,3.823077,342624992,buy,Negative
PCAR,Industrials,Farm & Heavy Construction Machinery,North America,Large Cap,Medium Volatility,Value,13.087249,1.0299999,0.89,2578813.147,117,8.94,34832900096,4707299840,83.654,0.27142,3.286517,-217475008,buy,Positive
TRST,Financial Services,Banks - Regional,North America,Small Cap,Medium Volatility,Growth,15.0161295,3.87,0.821,81455.37849,37.24000168,2.48,168592992,47400000,,0.07332,1.058195,,strongSell,Positive
MRIN,Technology,Software - Application,North America,Small Cap,Low Volatility,Unknown,,0,0.571,540090.1833,2.24000001,-3.93,16708000,-12018000,10.667,-0.91753995,0.9146591,-3980125,strongSell,Negative
LE,Consumer Cyclical,Apparel Retail,North America,Small Cap,High Volatility,Unknown,,0,2.792,113355.3785,15.94999981,-4.16,1442231040,-132707000,127.772,-0.44812,2.2009106,65566124,buy,Negative
CELH,Consumer Defensive,Beverages - Non-Alcoholic,North America,Mid Cap,High Volatility,Growth,39.51389,0,1.845,5914445.02,28.45000076,0.72,1370867968,170428000,0.468,0.18729,15.779258,110389376,buy,Negative
QDEL,Healthcare,Medical Devices,North America,Mid Cap,Low Volatility,Unknown,,0,0.116,956408.3665,41,-27.81,2817700096,-1866599936,87.231,-0.45786998,0.86459583,158724992,buy,Negative
COST,Consumer Defensive,Discount Stores,North America,Large Cap,Low Volatility,Growth,58.830505,0.47999998,0.789,1990399.602,971.8800049,16.52,2.54453E+11,7367000064,42.118,0.30267,18.231411,4467500032,buy,Negative
DAY,Technology,Software - Application,North America,Large Cap,High Volatility,Growth,235.2647,0,1.271,1589840.637,79.98999786,0.34,1694499968,52900000,48.404,0.02194,4.938264,134462496,buy,Negative
